#OTU ID	F0203-T0	F0203-T6	F0204-T0	F0204-T6	F0407-T0	F0407-T6	F0408-T0	F0408-T6	F0509-T0	F0510-T0	F0611-T0	F0612-T0	F0713-T0	F0713-T6	F0714-T0	F0714-T6	F0815-T0	F0816-T0	F0917-T0	F0918-T0	F1019-T0	F1020-T0	F1121-T0	F1121-T6	F1122-T0	F1122-T6	F1223-T0	F1223-T6	F1224-T0	F1224-T6	F1325-T0	F1326-T0	F1427-T0	F1427-T6	F1428-T0	F1428-T6	F1529-T0	F1529-T6	F1530-T0	F1530-T6	F1631-T0	F1631-T6	F1632-T0	F1632-T6	F1-T0	F10-T0	F11-T0	F12-T0	F13-T0	F14-T0	F15-T0	F16-T0	F17-T0	F19-T0	F2-T0	F20-T0	F21-T0	F22-T0	F23-T0	F24-T0	F25-T0	F26-T0	F3-T0	F4-T0	F5-T0	F6-T0	F7-T0	F9-T0
PWY-6470	0.00043903429686046875	0.0003706278222461755	0.0011810283935144883	0.00048757920763280047	0.00035077563911881793	0.00028584702339331066	0.00038534791065241976	0.0005189921972892553	0.0002668777741636991	0.0007898219922198973	0.00023478769841579902	0.00027792396112604346	0.00043107629182862725	0.0001819212619098847	0.0011276156710187408	0.0012481594192632933	0.0010368699897504389	0.0002746279118629274	0.0013869156469425612	0.0014778428844424614	0.0006000463813392186	0.0005794820369459877	0.001049551336834151	0.0005758586397110841	0.0005860738584304275	0.0003504871206416133	0.00019693410144969577	0.00019432040518723839	0.0005260996035196852	0.00011408534265172864	0.0005300409661948599	0.0005475139045486552	0.00011651326217954995	0.00021336492837849847	0.00012326633469999788	0.0015985631547849933	0.0023320005699015607	0.0003058498764688359	9.335134096939826e-05	6.772786573351245e-05	0.0007793504508111396	0.0005070144391136025	0.0003317239106470424	0.0004820417138320008	0.0006435939991993942	0.0014169001553280458	0.0018797347246024855	0.0013260472660209619	0.001150675990695883	0.0007373476701193	0.0012753106145901767	0.0009507453378857562	0.0006441562228820363	0.0014269106962515312	0.0009666321557911442	0.002664333914820607	0.0008827279555688309	0.00045906980104814664	0.0002599866955682062	0.0016962393326325417	0.0008799117300518829	0.0013963707095547202	0.0013322793309244484	0.0006957298395177377	0.0011134904596911588	0.0011213734266491018	0.0003715659882500032	0.001262664150546273
PWY-6471	0.00417338148349278	0.004353745884501876	0.004732269829718872	0.0037652645708442073	0.0029112566520931964	0.0025029629331288464	0.0029839367930051567	0.00301339732494151	0.003637894701067473	0.0027770050734818455	0.002501328078798918	0.002667199885720039	0.003152729522371414	0.0033165649242391255	0.0025289754369973226	0.0027158126798220114	0.0046122542684953055	0.003921203957470518	0.00508815951076433	0.0037369098160251316	0.003311537860622748	0.0019517663145280676	0.003080729737059587	0.0029214251330627497	0.0030715036797578556	0.0024972319081168664	0.0030120345738489465	0.003195973949749379	0.0030600992609804366	0.00311061463967072	0.002046011343970231	0.003669919679285832	0.002825562969499901	0.0031747839181440274	0.002949718287769115	0.002629029755734586	0.0036290741870579324	0.003884477411110195	0.005053581752364482	0.004100852093997435	0.0034745194676257807	0.0036067702639159963	0.0034520259163605014	0.003784091261799733	0.003984267402776956	0.0031126329542225887	0.0037121889828858755	0.002633796690249812	0.0028944889831754137	0.0029832849142723576	0.0028379723597565455	0.004091300634493443	0.0035134214441669307	0.004160293755743165	0.0022199746381912967	0.004119467866133496	0.003674627012787282	0.0033467136187716505	0.003934594796032215	0.0029956684794990498	0.003648405144875591	0.002964232085741879	0.004208678590416997	0.0030347948219418544	0.004029529643113633	0.003127018975493789	0.0031471511341968723	0.003552485580367821
PWY-6478	0.0008382977595061434	0.0014477618444393896	0.0012023750449562305	0.0010012055559847298	0.0019046312495246468	0.002365354646170929	0.001331566217362443	0.001287695689219743	0.0012360533679686661	0.0007686632927281583	0.0016286989009043822	0.0009020681388475478	0.0020984488272289404	0.0008165831333083309	0.0011062982908066586	0.001488106630636615	0.002056316033564134	0.0012877021502870321	0.001054706832712499	0.001516839927267088	0.0008556983531833017	0.001076946663170814	0.0016142430418982045	0.0010643708985098482	0.001136648189133741	0.0012989915284895522	0.0015762832238692015	0.0019083991559515215	0.0009694201977176435	0.0015876050433742696	0.0005657564959113251	0.0009897837859735284	0.0016537539289266602	0.0014839550924931016	0.0014397499604016713	0.002212156293871322	0.0014361669325041852	0.0008970720141721608	0.001094943107098151	0.0016796907847100155	0.0014806570973489885	0.0014690596320032893	0.0022123170113357324	0.0019641040708192107	0.0005429340945707775	0.0010322944335603777	0.0015612577704561073	0.001518866430655802	0.001274681248972649	0.0006174448742847569	0.0009220515643496975	0.0009507779158467905	0.0020443015136482846	0.0007322257616177346	0.00034877034003299523	0.0006745696800561014	0.001235561182739238	0.0012615191953158857	0.0009186355084857922	0.0008023248261115946	0.000812963808193741	0.0009695433558740022	0.0008522531685215136	0.0005684702520308803	0.0005656861567030845	0.0006542769232852965	0.0003853899796986436	0.0007920732687331054
PWY-6486	0.0	0.0	2.2777110952325307e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.204397718364005e-10	0.0	0.0	0.0	2.629893216527551e-10	0.0	1.4780822731604885e-10	0.0	0.0	0.0	0.0	6.757659133920227e-11	0.0	0.0	0.0	0.0	0.0	0.0	2.738149967592999e-10	9.751697693920169e-11	0.0	0.0	0.0	0.0	0.0	0.0	1.867298826106866e-10	0.0	0.0	2.2688257863951613e-10	0.0	1.6060595648972085e-10	0.0	0.0	4.766367318132914e-10	1.695758617079572e-10	0.0	5.274369165895782e-10	0.0	0.0	3.0124366323603313e-10	1.1864002749974912e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.673082801271127e-10	0.0	0.0	0.0
PWY-6505	0.0	1.1402027479769127e-07	4.0076326720616373e-07	0.0	2.1234376671361845e-06	8.920300569570576e-07	8.713557312522958e-07	0.0	0.0	2.0506136384504e-07	0.0	0.0	0.0	1.1914959370131395e-06	1.1403406015170062e-06	2.3339662834068182e-07	0.0	0.0	6.238757728018791e-09	5.425864189678817e-06	2.289372045308517e-06	1.739702835509895e-08	4.5426265702289086e-08	3.988272363505473e-06	3.2252292571234796e-07	2.4545027835137013e-06	5.028712044506736e-07	0.0	0.0	1.5162172257870345e-07	0.0	0.0	4.633391278384164e-07	4.676075607156945e-07	3.673952106184423e-07	0.0	0.0	2.053135908607218e-07	0.0	0.0	0.0	3.2962492527851447e-07	4.561054054797484e-10	7.549523039645077e-06	2.6681391248007093e-08	2.8409723131308516e-06	2.111968327839829e-08	0.0	0.0	5.070223234663887e-08	3.214451771892419e-06	1.0346622359758878e-06	4.018410008266849e-07	5.887099784423271e-07	0.0	3.785628701332816e-08	1.4977908005084995e-06	0.0	9.765034860636505e-07	5.8274363077171955e-06	3.1887542987080265e-07	2.5360982883150686e-06	0.0	2.9704635125809185e-06	4.849010624377806e-08	0.0	0.0	1.8017573290146738e-07
PWY-6507	0.004194362163653638	0.004275890375055442	0.0036669223397940496	0.004474347734044472	0.0040383310131868935	0.0036054873623735414	0.0038384714075756416	0.0038849485866524055	0.0034822769560202043	0.005387577379731937	0.0062903152054454336	0.0052550000080784625	0.003802061744518715	0.004103037530342366	0.002860227204181663	0.003055582751468619	0.002760001042954188	0.0038378876407830715	0.003754362982091774	0.0033068419647587772	0.004470703697515674	0.003531578087905977	0.003256768851811379	0.0028885987018007694	0.005013901766191424	0.005019829805613014	0.005315295955090672	0.005234572834845852	0.0044238296707836584	0.004329089422459492	0.003455069077431265	0.0054280769292303355	0.005156434317270344	0.006047896339287197	0.004963859868987253	0.00530490181269057	0.0044520755082205765	0.004684578522325617	0.0036241547547753114	0.0035518464928371127	0.0040057838325937845	0.004408811148596239	0.003807849980527688	0.004442449655911718	0.002229177783518811	0.0026773228411619207	0.0029450368847545316	0.00441307915981671	0.003754625038962022	0.0009005476104554392	0.003084526222956947	0.0031228959707565126	0.003537371739206194	0.003209387709248123	0.0024195343758368474	0.002641925670630167	0.0037103304240230298	0.003703702191787478	0.0037387642966736686	0.0020467413607609605	0.003399170046538204	0.0025430832808462684	0.004351991889633955	0.0031032441283262453	0.00391161830791707	0.003458486375030002	0.004398305284361663	0.002995182097310114
PWY-6519	0.002739205313717163	0.0028515964951126103	0.0016663075544786896	0.0031607676313428856	0.002523677665465054	0.003342159393331393	0.003404085117269341	0.0034451256704459946	0.0030674685164409116	0.005442280376261374	0.005461895385925394	0.00505404028886785	0.0024605422959447214	0.0037961556005312804	0.002762730934750818	0.00312655127691803	0.0014333213831642779	0.002810795695140004	0.0009973947584737792	0.0016613124865173903	0.0025241350015551074	0.004516808726150414	0.0027022550315082276	0.002597688156123254	0.0026135920441068866	0.0027855781909795286	0.00427560766190872	0.003999895676075804	0.003583824916805337	0.003923278055660314	0.004003295403907115	0.003695568643907242	0.0040822732000666394	0.003885187206803646	0.005092247551523654	0.005704439067543909	0.002961190005429774	0.0027180672644876204	0.000660833373033039	0.0022413351274269086	0.0030338642336938354	0.0034862044272932244	0.0024052984923531332	0.002738885899308312	0.0015468437655227825	0.0021878538953105943	0.0013543439371683033	0.0028938580150354833	0.002672073806393731	0.0006331629237897637	0.002842243608298602	0.0022296804445593914	0.0016422060025328069	0.002990286754308726	0.002871621820057923	0.0019767595792941238	0.0025450387804516724	0.003044731214177263	0.002988270789336143	0.0024413172120209105	0.0030476383692070396	0.0031376449222618005	0.0025420373015854663	0.0034345650082097012	0.0012089070311846874	0.0028650802182936556	0.0005101457190498171	0.0037430636670558698
PWY-6545	0.0023318257386319595	0.00212429912689353	0.0017736431523865334	0.002294128122992051	0.003350537747576739	0.0027383794073126333	0.003140779708509485	0.0031102994179786837	0.002801520308629407	0.003206046145616292	0.0029213735637455187	0.002645809244948792	0.0027140694388272098	0.002863396490076296	0.0026753822411706087	0.002836379565442962	0.004529175682738104	0.0032455462328950997	0.0024147634236651497	0.0021581739383394636	0.00210753860031475	0.002581111856041338	0.003450734170979228	0.0034069356504148325	0.0025761826412025453	0.0027817865669878816	0.002074799285949542	0.002767853936193864	0.0034270125498119214	0.0027465315318935908	0.002295323593852297	0.002190895795838376	0.0029336500829841195	0.002932592294536704	0.00339001860434347	0.001982634531421126	0.0030609733426160226	0.002946914839434538	0.002403814017971349	0.00309126336402636	0.00291461279441083	0.002742142751021364	0.002494870113860706	0.00220478204562054	0.0020971737330155353	0.002945500977609069	0.0017713803501486194	0.0021011614626915203	0.0031209544139284453	0.0026772559513014564	0.002486968470638277	0.002474127940562536	0.002355534390292504	0.002698096577961686	0.0013797533990027714	0.0029414652319347924	0.003106533161534627	0.002432957159284979	0.002601780344828277	0.0025645671983739646	0.0024806437641324707	0.002987578743132235	0.0018330758668156767	0.0025192577770685298	0.002359612218004383	0.0027515357209362155	0.0018196232261645114	0.00223599608655609
PWY-6562	7.504071154449299e-07	6.095812094587134e-05	2.823097628430484e-05	1.2448879425537715e-06	9.754755721797272e-07	4.61231151162667e-06	4.888424333200777e-07	0.0	2.1609128113179948e-07	2.352408378871453e-07	0.0	0.0	4.853839850564556e-07	2.2972159802604254e-05	4.3029123025102693e-07	7.184790150969288e-07	0.00013453564903895366	2.2359946489115392e-07	4.623138380241855e-06	6.139682955974808e-06	0.00017572583789382076	7.286945606681208e-09	3.4522646183827985e-06	4.70360592780258e-05	1.1828680433955885e-05	3.021418598432223e-05	4.848958311544459e-07	3.1998169400483665e-07	9.268716940111636e-06	5.167416703090097e-07	5.44321336725937e-07	0.0	6.386378719927062e-05	2.7470489549876764e-07	1.5226544571729299e-05	3.135788374391971e-05	6.719671725644026e-05	1.8029638861298678e-07	2.743599214746649e-06	1.869490890390907e-05	7.261248664601851e-07	3.4638393224282365e-08	1.1074148023967196e-05	0.00027489680621551097	7.033359937825e-09	0.0001586406398734141	5.500754009772939e-09	2.6008261386414634e-05	3.118564574192388e-05	1.3286248899295497e-08	1.4203956803094676e-05	7.587343402696039e-05	2.9116825332254796e-05	0.00040482276377195307	9.3871058388423e-05	0.0005025214577606863	6.38146120983509e-05	9.202900576763982e-05	9.422082529445347e-05	0.0004099962339681137	0.00028067903877602144	4.676458235286391e-05	5.176675363047002e-05	0.00021849792441433407	8.627610400040919e-06	0.0010696218423712437	0.0	7.80392227879171e-06
PWY-6565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.376181758431237e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5051478380831698e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
