#OTU ID	S0203-T6	S0204-T6	S0407-T6	S0408-T6	S0713-T6	S0714-T6	S1019-T0	S1020-T0	S1121-T0	S1121-T6	S1122-T0	S1122-T6	S1223-T0	S1223-T6	S1224-T0	S1224-T6	S1325-T0	S1326-T0	S1427-T0	S1427-T6	S1428-T0	S1428-T6	S1529-T0	S1529-T6	S1530-T0	S1530-T6	S1631-T0	S1631-T6	S1632-T0	S1632-T6	S1-T0	S10-T0	S11-T0	S12-T0	S13-T0	S14-T0	S15-T0	S16-T0	S17-T0	S19-T0	S2-T0	S20-T0	S21-T0	S22-T0	S23-T0	S24-T0	S25-T0	S26-T0	S3-T0	S4-T0	S5-T0	S6-T0	S7-T0	S8-T0	S9-T0	S0509-T0	S0510-T0	S0611-T0	S0612-T0	S0713-T0	S0714-T0	S0815-T0	S0816-T0	S0917-T0	S0918-T0
PWY-7373	235.5606	259.5066	247.0779	223.8828	706.679	2041.1115	99.2895	132.6493	179.983	205.5924	312.3211	661.7023	88.1254	373.3648	429.4467	12.1762	561.3144	284.7733	615.5239	698.8649	209.6065	247.8028	163.6527	247.1583	269.0852	207.5203	195.5164	162.9144	196.0252	150.5425	491.4762	1080.8819	1593.9697	965.9624	386.3023	557.1355	560.8816	756.7806	946.8047	478.0092	283.4411	290.5551	578.4181	231.7956	296.6913	191.3678	185.33	94.7109	304.6142	1014.285	1780.5524	1144.4	218.869	132.1598	202.0042	109.7965	528.2527	118.83	223.5349	403.1456	490.5133	143.3081	318.7918	573.5591	292.1188
PWY-7374	116.7086	56.8438	142.3967	128.4881	165.9491	534.715	133.064	146.5546	149.0908	190.7991	159.279	321.7606	92.5165	301.8282	347.3874	15.1381	108.8802	138.0008	124.9679	385.3775	181.5518	250.9466	19.9304	75.0671	199.0641	98.8434	124.7742	172.6321	180.9619	132.2946	281.756	296.7372	864.3425	143.4699	8.4545	377.8505	271.5056	526.2538	574.2612	28.3315	42.3345	129.991	199.6665	113.4037	45.0041	48.9938	0.0	37.6935	174.5227	464.708	1077.4106	395.1269	109.7698	138.3303	19.4913	110.3547	90.5785	51.3149	144.5321	123.6423	110.9236	136.4686	182.9121	313.6955	149.7094
PWY-7376	501.9879	228.0879	261.2339	196.778	209.2111	668.9002	796.8698	279.2587	526.7223	758.0344	415.7613	731.3833	198.6763	268.3428	169.9916	13.3442	555.241	500.1068	349.7446	878.9873	502.1985	902.6664	155.5448	432.6301	801.2057	444.2111	409.4248	657.1363	629.7008	624.4835	98.4364	1189.0031	2287.6413	376.4333	18.7613	1104.1028	534.7649	1057.3651	816.6789	15.1805	253.3252	88.9965	579.3804	19.3178	266.9178	305.4811	0.0	148.2679	501.8729	1263.7189	2494.3252	524.4909	131.6963	87.0976	697.9961	511.7013	54.6009	186.887	292.1801	206.5105	200.7256	286.7034	384.9607	612.906	464.2592
PWY-7377	2480.5278	1741.8509	2285.6697	1936.9297	2767.2461	7054.9885	2692.6592	1813.6863	2016.4365	1409.8066	1566.7746	2476.5998	1599.8509	3339.3252	3863.4541	650.9344	3539.7935	2849.8942	3854.2018	4382.7332	2387.4501	2540.2536	2318.8287	2181.8556	1927.9184	2054.6572	2083.9961	2147.624	2662.5039	1591.9018	4282.9259	7371.0742	10263.7474	4516.3452	6127.0205	6085.3987	3821.2685	4590.4522	6436.0142	3281.4607	1378.1578	4773.8899	4859.9846	2437.3479	1944.5333	2770.1954	3873.5504	812.9334	3419.9486	5736.5043	8798.7106	5602.9623	3656.9213	2121.6794	4203.9278	2478.2377	3228.4873	1504.1491	2467.7556	2476.0536	2800.8106	2120.8561	3064.794	5271.4539	3365.1816
PWY-7385	3.2293	1.3254	3.9011	3.2983	4.699	11.0291	4.2247	5.0096	4.7197	2.8501	1.9298	7.6222	4.4561	11.8012	9.2247	0.7621	1.2806	2.6941	2.6815	4.5595	2.913	5.7288	0.1668	1.3455	2.2857	1.6086	3.1647	5.1144	5.4623	3.152	3.4191	6.6708	18.2272	0.4264	0.2698	5.3561	8.34	11.8965	11.8399	0.6066	0.1864	6.4851	2.1181	1.0979	1.769	1.6733	0.0	0.2528	5.1146	10.4136	39.3098	3.035	1.0769	3.8641	0.7161	2.7262	2.1147	0.9863	4.581	2.0612	3.2229	4.3027	3.4017	6.0263	3.5737
PWY-7391	69.1248	127.3878	52.7562	52.5383	91.9006	210.4416	189.0024	34.0074	110.9874	76.8848	20.9744	137.2359	26.29	65.2832	57.3117	13.7106	186.5716	90.6594	123.9147	227.8726	80.996	42.2605	229.1297	480.9252	396.6861	34.2347	64.8337	229.259	235.0348	171.022	253.2727	650.856	799.1458	33.1881	24.9912	114.2661	72.2468	234.5954	134.0356	5.3146	1.3295	31.3779	137.1944	5.3868	173.7002	101.4226	0.0	57.5055	539.1758	215.1699	578.5619	65.8853	428.8826	29.0224	56.298	124.4455	18.1363	8.3301	35.6087	75.4314	86.0534	37.1656	31.0142	103.6067	74.0949
PWY-7392	9768.414	6654.7814	8585.5975	7987.329	8430.935	19842.9494	8462.5087	6676.5426	7898.132	8424.6586	8147.3299	10525.8579	6322.5418	10049.6806	9750.0504	2664.8755	11033.7103	8614.0954	8524.0522	10702.5062	6125.484	10363.9756	11283.8062	8834.5278	12348.0929	8715.5892	8752.0279	8358.1124	10178.1094	6441.1	10122.5165	21454.0896	32326.8959	16336.6279	14327.3697	20051.7843	11810.6733	14221.3666	18766.5885	10489.8537	7487.3851	13905.3215	9002.8207	9085.4751	7896.0114	10017.2807	10411.26	3724.0152	11130.5896	13268.7995	17014.1163	15152.7568	8678.5765	7424.1628	10290.547	8329.8549	7829.6741	6486.8322	9281.7476	10262.2241	8888.8613	8652.7027	10052.1822	12806.6685	9745.4494
PWY-7398	0.0439	0.0095	0.0347	0.0246	0.0359	0.0874	0.0539	0.0506	0.0592	0.0269	0.0403	0.1879	0.0338	0.0963	0.078	0.0057	0.0094	0.0201	0.0265	0.0417	0.0633	0.0797	0.0012	0.0103	0.0171	0.0118	0.0355	0.088	0.044	0.0268	0.0427	0.0501	0.1405	0.0031	0.0023	0.0809	0.0641	0.096	0.0975	0.0078	0.002	0.0465	0.0213	0.008	0.013	0.0122	0.0	0.0033	0.0534	0.0782	0.3909	0.0217	0.0077	0.0386	0.0054	0.0269	0.0269	0.0123	0.0353	0.0151	0.0258	0.0551	0.0682	0.0478	0.0327
PWY-7400	7018.3944	3305.7961	4898.4161	4578.4319	5083.8754	10531.5978	5503.0531	4123.6403	5867.8146	6876.4173	6131.0637	8079.705	3163.3461	5412.6963	5839.1554	1792.0684	6157.7676	5514.2762	5775.83	7693.3703	3618.6619	7135.1557	8946.3627	7257.757	9621.6639	5570.1622	6723.4759	6220.4849	5732.7647	3839.9785	6679.1249	15279.5598	24037.7877	8184.6719	8084.9633	14328.9037	7548.6136	12203.9988	10747.0771	5647.6507	4300.7336	13870.3659	7370.1086	5620.6036	4890.26	5084.354	8101.6285	3017.6742	6800.8038	9176.401	14149.1587	10188.4671	7200.7156	5595.9123	7424.6358	6121.4412	5358.0961	4153.9127	4346.4325	5256.0553	4296.9893	5475.106	7840.8238	11112.3336	7432.0819
PWY-7401	0.0265	0.0099	0.0363	0.0258	0.0376	0.0916	0.0565	0.053	0.062	0.0282	0.0171	0.0669	0.0354	0.1009	0.0817	0.0059	0.0098	0.021	0.0277	0.0437	0.0268	0.0468	0.0013	0.0107	0.0179	0.0123	0.0258	0.044	0.0461	0.0281	0.0448	0.0525	0.1472	0.0032	0.0024	0.042	0.0671	0.1006	0.1022	0.0082	0.0021	0.0488	0.0223	0.0083	0.0136	0.0128	0.0	0.0034	0.0559	0.082	0.4095	0.0227	0.0081	0.0404	0.0057	0.0282	0.0282	0.0129	0.037	0.0159	0.0271	0.0578	0.0457	0.0501	0.0342
